"exposure","outcome","provider","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"CAD","T2D","Mahajan",170,0.0958307115052798,0.0273909358908039,0.000467657516842588,-0.0317824990175877,0.549910902277918,0.00800787849721763,0.00589058913004652,0.0583314931218845,0.0413559210775556,600.227345774569,1.25571200608733e-49,TRUE,8.18446688038379e-126
"eGFR","T2D","FinnGen",327,0.473157284842868,0.279315969644164,0.0902679823914408,0.351712353439889,0.560480568724969,0.000426469252281815,0.820510125551437,0.85605780909814,0.000875210340654171,1645.75974350355,8.27126481102666e-175,TRUE,0
"eGFR","T2D","Mahajan",330,0.61834454913625,0.317558763594387,0.0515129789991187,0.30836049666473,0.655949134935548,0.00108869750327482,0.614054690406212,0.591851147224461,0.0721817905973452,1087.53902612922,6.76068014149419e-82,TRUE,0
"HbA1c","T2D","FinnGen",318,0.758399043682365,0.0566158650062478,6.42232361944175e-41,0.505914571997756,3.77959591248253e-07,0.00874866260967273,0.0017346467443176,0.286967791270725,1.13481811557209e-15,4883.89713287495,0,TRUE,0
"HbA1c","T2D","Mahajan",307,0.852033343185692,0.0705063873872325,1.27567788716515e-33,0.50440199473278,4.107864222934e-05,0.0120666546332692,0.000543910101764741,0.298375266622018,8.82962708990116e-09,3502.80914851184,0,TRUE,0
"HDL","T2D","FinnGen",529,-0.342160612946885,0.0348593222067796,9.65873409813404e-23,-0.0521952405588702,0.255642256625646,-0.0105664426844102,5.58571391547369e-18,-0.164468243369516,8.36786672887103e-09,3662.95620249865,0,TRUE,0
"HDL","T2D","Mahajan",546,-0.350766478599553,0.0399130247074511,1.51879211259287e-18,-0.0304197059293637,0.573686095067961,-0.0111379259451347,1.06275883797208e-15,-0.135700377400702,0.000399971321829748,2331.47918373532,8.89984102702631e-219,TRUE,0
"HF","T2D","FinnGen",43,0.376727418184804,0.103129235624661,0.000259230262586372,0.2753476275486,0.383576440390119,0.00441777262622702,0.732627018933936,0.234722924412957,5.87088508121304e-06,648.822496930017,9.4041712181801e-110,FALSE,0.00148322950981196
"HF","T2D","Mahajan",45,0.344967991786173,0.110458736588559,0.00178988249579698,0.288757964876419,0.40517524225496,0.0023934612400799,0.863420455993859,0.284435615452461,3.35230396818334e-05,368.619947921941,7.50889361676924e-53,FALSE,0.00155080125011063
"LDL","T2D","FinnGen",455,0.045072813858115,0.0264043813792841,0.0878182875327535,-0.00436399323233485,0.897908271831047,0.00262753075358535,0.022310468434268,0.0444359082350511,0.0819713453274993,2195.68366499329,1.04967307310064e-225,TRUE,0
"LDL","T2D","Mahajan",472,-0.0490215175281551,0.0332592658174639,0.140502966520282,-0.111620360147046,0.017552060872821,0.00255822902330011,0.0589361804026856,-0.0499979092650768,0.177715981351744,1296.28565252548,3.20352490876849e-78,TRUE,0
"SBP","T2D","FinnGen",424,0.0137675538249033,0.00230175124045839,2.21311113942759e-09,0.00421037781047427,0.469561877178247,0.00317910561176945,0.0744540003518198,0.00850282185223179,3.39207720494756e-05,1905.01995450554,2.01389817273185e-186,TRUE,0
"SBP","T2D","Mahajan",437,0.0168181154498825,0.00262480749611868,1.48050250354798e-10,-0.00268091468632384,0.684465011226681,0.00647140206089119,0.00138796827123135,0.00996552337948557,0.000150386176423102,1291.11508388579,1.71347685878352e-85,TRUE,0
"TC","T2D","FinnGen",507,0.0357516738232399,0.025052899660702,0.153566249690241,0.00298849440230692,0.927802901402685,0.00157731293304081,0.127542654162917,0.0225382697880312,0.378141467060725,2272.63106532413,1.94204669427518e-221,TRUE,0
"TC","T2D","Mahajan",523,-0.0667512249812868,0.0315358302122902,0.0342871126127772,-0.0921028274202191,0.0467212589031655,0.000928990958677565,0.452907812191283,-0.0553496254017438,0.14853571433047,1352.74105932986,5.38102522346997e-75,TRUE,0
"TG","T2D","FinnGen",486,0.424758094195544,0.0500943235820966,2.26813530842167e-17,-0.0362179257901746,0.58119305411073,0.0152635233338018,7.56608313118399e-21,0.0992792550155255,0.00843823255221599,5583.50092727591,0,TRUE,0
"TG","T2D","Mahajan",505,0.434952926268558,0.055974179184167,7.81155505622952e-15,-0.112032520647209,0.125033719440657,0.017507256589743,2.77472761420455e-23,0.0935830783888875,0.042322636087091,3436.18488115839,0,TRUE,0
