"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"HDL","Stroke","True","forward",448,NA,0.035,FALSE,0.0562655810442661,0.00278471009357214,TRUE
"HDL","Stroke","True","forward",448,NA,0.05,TRUE,0.0562655810442661,0.00278478051822535,TRUE
"HDL","Stroke","True","forward",448,NA,0.065,FALSE,0.0562655810442661,0.00278485083037366,TRUE
"HDL","Stroke","True","forward",448,NA,0.08,FALSE,0.0562655810442661,0.00278492103001706,TRUE
"HDL","T2D","False","intra",306,NA,0.05,FALSE,0.0342415335368178,0.0100347793174176,TRUE
"HDL","T2D","False","intra",306,NA,0.075,FALSE,0.0342415335368178,0.0100352678605626,TRUE
"HDL","T2D","False","intra",306,NA,0.1,TRUE,0.0342415335368178,0.0100357505210236,TRUE
"HDL","T2D","False","intra",306,NA,0.125,FALSE,0.0342415335368178,0.010036227298795,TRUE
"HDL","T2D","False","intra",306,NA,0.15,FALSE,0.0342415335368178,0.0100366981938711,TRUE
"HF","Stroke","False","intra",45,0.01,0.02,FALSE,0.00379900545604869,0.00117858102450146,TRUE
"HF","Stroke","False","intra",45,0.01,0.035,FALSE,0.00379900545604869,0.00117883652720242,TRUE
"HF","Stroke","False","intra",45,0.01,0.05,FALSE,0.00379900545604869,0.00117909183199207,TRUE
"HF","Stroke","False","intra",45,0.01,0.065,FALSE,0.00379900545604869,0.00117934693887048,TRUE
"HF","Stroke","False","intra",45,0.01,0.08,FALSE,0.00379900545604869,0.00117960184783774,TRUE
"HF","Stroke","False","intra",45,0.015,0.02,FALSE,0.00379925505321519,0.00117858102450146,TRUE
"HF","Stroke","False","intra",45,0.015,0.035,FALSE,0.00379925505321519,0.00117883652720242,TRUE
"HF","Stroke","False","intra",45,0.015,0.05,FALSE,0.00379925505321519,0.00117909183199207,TRUE
"HF","Stroke","False","intra",45,0.015,0.065,FALSE,0.00379925505321519,0.00117934693887048,TRUE
"HF","Stroke","False","intra",45,0.015,0.08,FALSE,0.00379925505321519,0.00117960184783774,TRUE
"HF","Stroke","False","intra",45,0.02,0.02,FALSE,0.00379950458517811,0.00117858102450146,TRUE
"HF","Stroke","False","intra",45,0.02,0.035,FALSE,0.00379950458517811,0.00117883652720242,TRUE
"HF","Stroke","False","intra",45,0.02,0.05,TRUE,0.00379950458517811,0.00117909183199207,TRUE
"HF","Stroke","False","intra",45,0.02,0.065,FALSE,0.00379950458517811,0.00117934693887048,TRUE
"HF","Stroke","False","intra",45,0.02,0.08,FALSE,0.00379950458517811,0.00117960184783774,TRUE
"HF","Stroke","False","intra",45,0.035,0.02,FALSE,0.00380025278984551,0.00117858102450146,TRUE
"HF","Stroke","False","intra",45,0.035,0.035,FALSE,0.00380025278984551,0.00117883652720242,TRUE
"HF","Stroke","False","intra",45,0.035,0.05,FALSE,0.00380025278984551,0.00117909183199207,TRUE
"HF","Stroke","False","intra",45,0.035,0.065,FALSE,0.00380025278984551,0.00117934693887048,TRUE
"HF","Stroke","False","intra",45,0.035,0.08,FALSE,0.00380025278984551,0.00117960184783774,TRUE
"HF","Stroke","False","intra",45,0.05,0.02,FALSE,0.00380100040768091,0.00117858102450146,TRUE
"HF","Stroke","False","intra",45,0.05,0.035,FALSE,0.00380100040768091,0.00117883652720242,TRUE
"HF","Stroke","False","intra",45,0.05,0.05,FALSE,0.00380100040768091,0.00117909183199207,TRUE
"HF","Stroke","False","intra",45,0.05,0.065,FALSE,0.00380100040768091,0.00117934693887048,TRUE
"HF","Stroke","False","intra",45,0.05,0.08,FALSE,0.00380100040768091,0.00117960184783774,TRUE
"LDL","CAD","True","forward",483,NA,0.03,FALSE,0.0644294903405425,0.0123193009134448,TRUE
"LDL","CAD","True","forward",483,NA,0.045,FALSE,0.0644294903405425,0.0123389679190442,TRUE
"LDL","CAD","True","forward",483,NA,0.06,TRUE,0.0644294903405425,0.0123586244136946,TRUE
"LDL","CAD","True","forward",483,NA,0.08,FALSE,0.0644294903405425,0.0123848167235665,TRUE
"LDL","CAD","True","forward",483,NA,0.1,FALSE,0.0644294903405425,0.0124109903489935,TRUE
"LDL","HF","True","forward",379,NA,0.01,FALSE,0.0508759066067964,0.00229370601356632,TRUE
"LDL","HF","True","forward",379,NA,0.015,FALSE,0.0508759066067964,0.00229383950699773,TRUE
"LDL","HF","True","forward",379,NA,0.02,TRUE,0.0508759066067964,0.00229397298508465,TRUE
"LDL","HF","True","forward",379,NA,0.035,FALSE,0.0508759066067964,0.00229437332727841,TRUE
"LDL","HF","True","forward",379,NA,0.05,FALSE,0.0508759066067964,0.00229477353137177,TRUE
"SBP","CAD","True","forward",436,NA,0.03,FALSE,0.0430723873257276,0.00838897080658487,TRUE
"SBP","CAD","True","forward",436,NA,0.045,FALSE,0.0430723873257276,0.00838991055195125,TRUE
"SBP","CAD","True","forward",436,NA,0.06,TRUE,0.0430723873257276,0.00839084804967621,TRUE
"SBP","CAD","True","forward",436,NA,0.08,FALSE,0.0430723873257276,0.00839209455031657,TRUE
"SBP","CAD","True","forward",436,NA,0.1,FALSE,0.0430723873257276,0.00839333705516156,TRUE
"SBP","HF","True","forward",431,NA,0.01,FALSE,0.0424864521369981,0.00329495021568085,TRUE
"SBP","HF","True","forward",431,NA,0.015,FALSE,0.0424864521369981,0.00329493114328296,TRUE
"SBP","HF","True","forward",431,NA,0.02,TRUE,0.0424864521369981,0.00329491205490581,TRUE
"SBP","HF","True","forward",431,NA,0.035,FALSE,0.0424864521369981,0.00329485469389869,TRUE
"SBP","HF","True","forward",431,NA,0.05,FALSE,0.0424864521369981,0.00329479718907808,TRUE
"SBP","Stroke","True","forward",434,NA,0.02,FALSE,0.0427139075815267,0.00484222011691441,TRUE
"SBP","Stroke","True","forward",434,NA,0.035,FALSE,0.0427139075815267,0.00484224860979939,TRUE
"SBP","Stroke","True","forward",434,NA,0.05,TRUE,0.0427139075815267,0.00484227684742661,TRUE
"SBP","Stroke","True","forward",434,NA,0.065,FALSE,0.0427139075815267,0.00484230482979609,TRUE
"SBP","Stroke","True","forward",434,NA,0.08,FALSE,0.0427139075815267,0.00484233255690782,TRUE
"SBP","T2D","False","intra",334,NA,0.05,FALSE,0.0339710518331694,0.00606892202154696,TRUE
"SBP","T2D","False","intra",334,NA,0.075,FALSE,0.0339710518331694,0.00607037416492994,TRUE
"SBP","T2D","False","intra",334,NA,0.1,TRUE,0.0339710518331694,0.0060718202411809,TRUE
"SBP","T2D","False","intra",334,NA,0.125,FALSE,0.0339710518331694,0.00607326025034044,TRUE
"SBP","T2D","False","intra",334,NA,0.15,FALSE,0.0339710518331694,0.00607469419244903,TRUE
"Stroke","HF","False","intra",23,0.02,0.01,FALSE,0.00347150097921718,0.000741953179708276,TRUE
"Stroke","HF","False","intra",23,0.02,0.015,FALSE,0.00347150097921718,0.000742007468343309,TRUE
"Stroke","HF","False","intra",23,0.02,0.02,FALSE,0.00347150097921718,0.000742061746320554,TRUE
"Stroke","HF","False","intra",23,0.02,0.035,FALSE,0.00347150097921718,0.000742224516305578,TRUE
"Stroke","HF","False","intra",23,0.02,0.05,FALSE,0.00347150097921718,0.000742387190370558,TRUE
"Stroke","HF","False","intra",23,0.035,0.01,FALSE,0.00347192090883098,0.000741953179708276,TRUE
"Stroke","HF","False","intra",23,0.035,0.015,FALSE,0.00347192090883098,0.000742007468343309,TRUE
"Stroke","HF","False","intra",23,0.035,0.02,FALSE,0.00347192090883098,0.000742061746320554,TRUE
"Stroke","HF","False","intra",23,0.035,0.035,FALSE,0.00347192090883098,0.000742224516305578,TRUE
"Stroke","HF","False","intra",23,0.035,0.05,FALSE,0.00347192090883098,0.000742387190370558,TRUE
"Stroke","HF","False","intra",23,0.05,0.01,FALSE,0.00347233998759522,0.000741953179708276,TRUE
"Stroke","HF","False","intra",23,0.05,0.015,FALSE,0.00347233998759522,0.000742007468343309,TRUE
"Stroke","HF","False","intra",23,0.05,0.02,TRUE,0.00347233998759522,0.000742061746320554,TRUE
"Stroke","HF","False","intra",23,0.05,0.035,FALSE,0.00347233998759522,0.000742224516305578,TRUE
"Stroke","HF","False","intra",23,0.05,0.05,FALSE,0.00347233998759522,0.000742387190370558,TRUE
"Stroke","HF","False","intra",23,0.065,0.01,FALSE,0.00347275821551015,0.000741953179708276,TRUE
"Stroke","HF","False","intra",23,0.065,0.015,FALSE,0.00347275821551015,0.000742007468343309,TRUE
"Stroke","HF","False","intra",23,0.065,0.02,FALSE,0.00347275821551015,0.000742061746320554,TRUE
"Stroke","HF","False","intra",23,0.065,0.035,FALSE,0.00347275821551015,0.000742224516305578,TRUE
"Stroke","HF","False","intra",23,0.065,0.05,FALSE,0.00347275821551015,0.000742387190370558,TRUE
"Stroke","HF","False","intra",23,0.08,0.01,FALSE,0.003473175592576,0.000741953179708276,TRUE
"Stroke","HF","False","intra",23,0.08,0.015,FALSE,0.003473175592576,0.000742007468343309,TRUE
"Stroke","HF","False","intra",23,0.08,0.02,FALSE,0.003473175592576,0.000742061746320554,TRUE
"Stroke","HF","False","intra",23,0.08,0.035,FALSE,0.003473175592576,0.000742224516305578,TRUE
"Stroke","HF","False","intra",23,0.08,0.05,FALSE,0.003473175592576,0.000742387190370558,TRUE
"T2D","CAD","True","forward",116,0.05,0.03,FALSE,0.0356957136605951,0.00282071862609828,TRUE
"T2D","CAD","True","forward",116,0.05,0.045,FALSE,0.0356957136605951,0.00282024225020263,TRUE
"T2D","CAD","True","forward",116,0.05,0.06,FALSE,0.0356957136605951,0.00281976403291191,TRUE
"T2D","CAD","True","forward",116,0.05,0.08,FALSE,0.0356957136605951,0.0028191235454582,TRUE
"T2D","CAD","True","forward",116,0.05,0.1,FALSE,0.0356957136605951,0.00281847978439617,TRUE
"T2D","CAD","True","forward",116,0.075,0.03,FALSE,0.0357097197885708,0.00282071862609828,TRUE
"T2D","CAD","True","forward",116,0.075,0.045,FALSE,0.0357097197885708,0.00282024225020263,TRUE
"T2D","CAD","True","forward",116,0.075,0.06,FALSE,0.0357097197885708,0.00281976403291191,TRUE
"T2D","CAD","True","forward",116,0.075,0.08,FALSE,0.0357097197885708,0.0028191235454582,TRUE
"T2D","CAD","True","forward",116,0.075,0.1,FALSE,0.0357097197885708,0.00281847978439617,TRUE
"T2D","CAD","True","forward",116,0.1,0.03,FALSE,0.0357235217914223,0.00282071862609828,TRUE
"T2D","CAD","True","forward",116,0.1,0.045,FALSE,0.0357235217914223,0.00282024225020263,TRUE
"T2D","CAD","True","forward",116,0.1,0.06,TRUE,0.0357235217914223,0.00281976403291191,TRUE
"T2D","CAD","True","forward",116,0.1,0.08,FALSE,0.0357235217914223,0.0028191235454582,TRUE
"T2D","CAD","True","forward",116,0.1,0.1,FALSE,0.0357235217914223,0.00281847978439617,TRUE
"T2D","CAD","True","forward",116,0.125,0.03,FALSE,0.035737119687223,0.00282071862609828,TRUE
"T2D","CAD","True","forward",116,0.125,0.045,FALSE,0.035737119687223,0.00282024225020263,TRUE
"T2D","CAD","True","forward",116,0.125,0.06,FALSE,0.035737119687223,0.00281976403291191,TRUE
"T2D","CAD","True","forward",116,0.125,0.08,FALSE,0.035737119687223,0.0028191235454582,TRUE
"T2D","CAD","True","forward",116,0.125,0.1,FALSE,0.035737119687223,0.00281847978439617,TRUE
"T2D","CAD","True","forward",116,0.15,0.03,FALSE,0.0357505134938994,0.00282071862609828,TRUE
"T2D","CAD","True","forward",116,0.15,0.045,FALSE,0.0357505134938994,0.00282024225020263,TRUE
"T2D","CAD","True","forward",116,0.15,0.06,FALSE,0.0357505134938994,0.00281976403291191,TRUE
"T2D","CAD","True","forward",116,0.15,0.08,FALSE,0.0357505134938994,0.0028191235454582,TRUE
"T2D","CAD","True","forward",116,0.15,0.1,FALSE,0.0357505134938994,0.00281847978439617,TRUE
"T2D","HDL","False","intra",116,0.05,NA,FALSE,0.0356957136605951,0.00462642448405398,TRUE
"T2D","HDL","False","intra",116,0.075,NA,FALSE,0.0357097197885708,0.00462642448405398,TRUE
"T2D","HDL","False","intra",116,0.1,NA,TRUE,0.0357235217914223,0.00462642448405398,TRUE
"T2D","HDL","False","intra",116,0.125,NA,FALSE,0.035737119687223,0.00462642448405398,TRUE
"T2D","HDL","False","intra",116,0.15,NA,FALSE,0.0357505134938994,0.00462642448405398,TRUE
"T2D","HF","True","forward",115,0.05,0.01,FALSE,0.0348852959964781,0.00077091444916908,TRUE
"T2D","HF","True","forward",115,0.05,0.015,FALSE,0.0348852959964781,0.000770916449417173,TRUE
"T2D","HF","True","forward",115,0.05,0.02,FALSE,0.0348852959964781,0.000770918447092076,TRUE
"T2D","HF","True","forward",115,0.05,0.035,FALSE,0.0348852959964781,0.000770924424677652,TRUE
"T2D","HF","True","forward",115,0.05,0.05,FALSE,0.0348852959964781,0.000770930379104526,TRUE
