exposure,outcome,b_eur_used,se_eur_used,b_eas,se_eas,z_raw,p_raw,z_absorbed,p_absorbed,sig_raw,sig_absorbed,global_slope,family_size,bonferroni
TG,HDL,-0.597901,0.035251,-0.469944,0.158069,-0.7901,4.294739e-01,1.3174,1.876883e-01,False,False,0.436049,67,7.462687e-04
SBP,CKD,0.275990,0.032810,0.097900,0.224000,0.7867,4.314863e-01,0.1000,9.203463e-01,False,False,0.436049,67,7.462687e-04
BMI,TC,-0.052156,0.021413,-0.022581,0.032198,-0.7648,4.443663e-01,-0.0048,9.961550e-01,False,False,0.436049,67,7.462687e-04
HDL,LDL,-0.045478,0.026526,-0.102536,0.077293,0.6982,4.850332e-01,1.0582,2.899458e-01,False,False,0.436049,67,7.462687e-04
CAD,HDL,-0.105010,0.034954,-0.072441,0.050993,-0.5268,5.983245e-01,0.5008,6.165398e-01,False,False,0.436049,67,7.462687e-04
SBP,CAD,0.648137,0.046170,0.527268,0.226072,0.5238,6.003929e-01,-1.0779,2.810757e-01,False,False,0.436049,67,7.462687e-04
LDL,T2D,-0.007801,0.057545,-0.051241,0.060605,0.5198,6.032120e-01,0.7293,4.658037e-01,False,False,0.436049,67,7.462687e-04
BMI,LDL,-0.021209,0.022285,0.001545,0.038219,-0.5143,6.070331e-01,-0.2737,7.843191e-01,False,False,0.436049,67,7.462687e-04
HDL,TC,0.155390,0.027424,0.173844,0.056422,-0.2942,7.686326e-01,-1.8394,6.586034e-02,False,False,0.436049,67,7.462687e-04
LDL,HDL,-0.075781,0.033256,-0.113599,0.130650,0.2805,7.790821e-01,0.6128,5.400044e-01,False,False,0.436049,67,7.462687e-04
CAD,TG,0.055585,0.031409,0.037853,0.079238,0.2080,8.352024e-01,-0.1693,8.655477e-01,False,False,0.436049,67,7.462687e-04
LDL,CAD,0.510856,0.033262,0.526820,0.084878,-0.1751,8.609889e-01,-3.5312,4.137452e-04,False,True,0.436049,67,7.462687e-04
TC,LDL,0.934417,0.013888,0.943096,0.110613,-0.0779,9.379462e-01,-4.8353,1.329648e-06,False,True,0.436049,67,7.462687e-04
BMI,Stroke,0.151321,0.024940,0.156619,0.064770,-0.0763,9.391536e-01,-1.3800,1.675776e-01,False,False,0.436049,67,7.462687e-04
TC,T2D,-0.040558,0.045452,-0.044975,0.059560,0.0590,9.529881e-01,0.4348,6.637433e-01,False,False,0.436049,67,7.462687e-04
