edge,exposure,outcome,exp_units_eur,exp_units_eas,out_units,EUR_b,EAS_b,EUR_b_perSD,EAS_b_perSD,EUR_p,EAS_p,dir_concordant,both_sig,comparable,scale_note
CAD->HDL,CAD,HDL,per-log-OR,per-log-OR,per-SD,-0.105009781898007,-0.0724413024072852,-0.105,-0.0724,2.7e-03,1.6e-01,True,False,True,
CAD->HF,CAD,HF,per-log-OR,per-log-OR,log-OR,0.285128893290755,0.0727043885225405,0.2851,0.0727,1.2e-119,1.9e-02,True,True,True,
CAD->LDL,CAD,LDL,per-log-OR,per-log-OR,per-SD,0.246198328884985,0.0882158692334601,0.2462,0.0882,8.4e-07,2.6e-01,True,False,True,
CAD->Stroke,CAD,Stroke,per-log-OR,per-log-OR,log-OR,0.171125169546868,-0.00562946807376807,0.1711,-0.0056,5.5e-17,9.1e-01,False,False,True,
CAD->T2D,CAD,T2D,per-log-OR,per-log-OR,log-OR,0.167535619614003,0.0202969765134857,0.1675,0.0203,1.6e-06,4.0e-01,True,False,True,
CAD->TC,CAD,TC,per-log-OR,per-log-OR,per-SD,0.194063920356122,0.0700182117329372,0.1941,0.07,2.4e-06,1.6e-01,True,False,True,
CAD->TG,CAD,TG,per-log-OR,per-log-OR,per-SD,0.0555852727107802,0.0378533345799836,0.0556,0.0379,7.7e-02,6.3e-01,True,False,True,
eGFR->BMI,eGFR,BMI,per-SD (log),per-SD,per-SD,-0.518192357288814,-0.0968201585398329,-0.5182,-0.0968,7.3e-04,5.2e-03,True,True,False,
eGFR->HbA1c,eGFR,HbA1c,per-SD (log),per-SD,per-SD,-0.19987960648585,-0.0210497522299225,-0.1999,-0.021,1.7e-01,6.4e-01,True,False,False,
eGFR->HDL,eGFR,HDL,per-SD (log),per-SD,per-SD,0.11729741829931,0.175524552986306,0.1173,0.1755,3.9e-01,7.2e-03,True,False,False,
eGFR->HF,eGFR,HF,per-SD (log),per-SD,log-OR,0.123978437133933,0.0161549948896986,0.124,0.0162,4.5e-01,8.5e-01,True,False,False,
eGFR->LDL,eGFR,LDL,per-SD (log),per-SD,per-SD,0.252542155486598,-0.0312858054887248,0.2525,-0.0313,2.7e-01,4.6e-01,False,False,False,
eGFR->Stroke,eGFR,Stroke,per-SD (log),per-SD,log-OR,-0.099493782378476,0.155474057280541,-0.0995,0.1555,6.0e-01,6.4e-02,False,False,False,
eGFR->T2D,eGFR,T2D,per-SD (log),per-SD,log-OR,0.398466210335823,0.0269207049852337,0.3985,0.0269,2.4e-01,7.3e-01,True,False,False,
eGFR->TC,eGFR,TC,per-SD (log),per-SD,per-SD,0.274305910506849,0.0280203176679276,0.2743,0.028,2.1e-01,4.3e-01,True,False,False,
eGFR->TG,eGFR,TG,per-SD (log),per-SD,per-SD,0.0114255935916078,-0.0112569965106157,0.0114,-0.0113,9.5e-01,8.6e-01,False,False,False,
HbA1c->BMI,HbA1c,BMI,per-unit (MAGIC),per-SD (INT),per-SD,0.00422020441228821,-0.303173263220362,0.0042,-0.3032,9.0e-01,8.4e-10,False,False,False,
HbA1c->eGFR,HbA1c,eGFR,per-unit (MAGIC),per-SD (INT),per-SD,-0.000757930440427057,-0.00435453830131063,-0.0008,-0.0044,6.8e-01,8.4e-01,True,False,False,
HbA1c->HDL,HbA1c,HDL,per-unit (MAGIC),per-SD (INT),per-SD,-0.0140122712806288,0.124467123704637,-0.014,0.1245,4.2e-01,7.7e-04,False,False,False,
HbA1c->HF,HbA1c,HF,per-unit (MAGIC),per-SD (INT),log-OR,0.0481527213206198,-0.180075010779324,0.0482,-0.1801,1.5e-02,1.4e-03,False,True,False,
HbA1c->LDL,HbA1c,LDL,per-unit (MAGIC),per-SD (INT),per-SD,0.130965037323888,0.0306605965400296,0.131,0.0307,6.7e-20,3.9e-01,True,False,False,
HbA1c->Stroke,HbA1c,Stroke,per-unit (MAGIC),per-SD (INT),log-OR,0.112782586820416,-0.0307007990166463,0.1128,-0.0307,5.1e-07,5.3e-01,False,False,False,
HbA1c->T2D,HbA1c,T2D,per-unit (MAGIC),per-SD (INT),log-OR,1.06101996931874,1.51245726613517,1.061,1.5125,1.4e-28,4.1e-13,True,True,False,
HbA1c->TC,HbA1c,TC,per-unit (MAGIC),per-SD (INT),per-SD,0.133819605281325,0.0675076321273591,0.1338,0.0675,1.2e-19,3.0e-02,True,True,False,
HbA1c->TG,HbA1c,TG,per-unit (MAGIC),per-SD (INT),per-SD,0.06870249000348,-0.0906830154324265,0.0687,-0.0907,3.5e-04,5.4e-03,False,True,False,
HDL->BMI,HDL,BMI,per-SD,per-SD,per-SD,-0.0680850315265925,0.0114697890615391,-0.0681,0.0115,3.3e-02,5.2e-01,False,False,True,
HDL->eGFR,HDL,eGFR,per-SD,per-SD,per-SD,0.000756051140751559,0.0362575140246484,0.0008,0.0363,7.2e-01,4.4e-02,True,False,True,
HDL->HbA1c,HDL,HbA1c,per-SD,per-SD,per-SD,-0.0468612026406415,-0.0442669360943106,-0.0469,-0.0443,5.5e-03,9.7e-02,True,False,True,
HDL->HF,HDL,HF,per-SD,per-SD,log-OR,-0.123455803647606,-0.0180833189020734,-0.1235,-0.0181,1.0e-09,5.8e-01,True,False,True,
HDL->LDL,HDL,LDL,per-SD,per-SD,per-SD,-0.0454783968539754,-0.102535756827823,-0.0455,-0.1025,8.6e-02,1.8e-01,True,False,True,
HDL->Stroke,HDL,Stroke,per-SD,per-SD,log-OR,-0.0998803641958586,0.00540768636715353,-0.0999,0.0054,4.5e-06,8.9e-01,False,False,True,
HDL->T2D,HDL,T2D,per-SD,per-SD,log-OR,-0.487547910421763,-0.0210477553231903,-0.4875,-0.021,1.1e-16,6.8e-01,True,False,True,
HDL->TC,HDL,TC,per-SD,per-SD,per-SD,0.155389532438148,0.173843683172385,0.1554,0.1738,1.5e-08,2.1e-03,True,True,True,
HDL->TG,HDL,TG,per-SD,per-SD,per-SD,-0.512065865622795,-0.266835479764733,-0.5121,-0.2668,9.1e-80,2.2e-03,True,True,True,
LDL->BMI,LDL,BMI,per-SD,per-SD,per-SD,-0.0116179901655577,-0.068132069579973,-0.0116,-0.0681,6.0e-01,1.2e-03,True,False,True,
